Name,"Sub-Title (i.e. Location, Table/Booth, or Title/Sponsorship Level)",Description (Optional),Location/Room
Spike Spencer,,"Spike Spencer can be heard on the Nickelodeon show Get Blake! as Mitch, the scrappy best pal of the future Space Ranger Blake. The two fight alien space squirrels who come back in time to defeat Blake before he becomes a Ranger. Hilarity ensues.

Spike has voiced hundreds of episodes of Anime including such notable titles as Evangelion, Bleach, Vampire Knight, Naruto, Black Butler, Doraemon, Knights of Sidonia, Pokemon, Gundam Unicorn, Durarara! and many many more.

His video game credits include Bravely Default, Bioshock:Infinite, Saints Row 3, XCOM:Declassified, World of Warcraft, League of Legends, Lego Ultra Agents, Tales of Vesperia, BlazBlue, Dynasty and Samurai Warriors, and many others.

An accomplished onscreen actor, he has worked with such notable stars as Tommy Lee Jones, Sandra Bullock, Frank Langella, Tia Carrere, and Scott Glenn and has been on set with many other stars. Spike has also lent his voice to numerous radio and TV commercials.

Spike is also an author, including ""How to Be A Frickin Genius Voice Actor, Step One"" and ""What Happens At The Con, Stays At The Con?"" Both of which he presents as panels at the con.

Spike is also an avid sailor, cook, traveler, and enjoys a good bit of dancing from time to time.

Visit his official websites:
www.spikespencer.com
www.almostevilminions.com
www.dontkillyourdate.com


****Spike teaches Voice Acting around the globe in person and via email and Skype. If you are interested in learning the art of Voice Acting from Spike contact him at:
spike@worldospike.com
	Anthony Kroze Kresky is a New Jersey escapee (we've tried to push him back into his bottle but have had no luck thus far) who specializes in new media production and promotion. He has recently entered the realm of professional voice acting. A frequent innovator, voice actor, and talent spotter, over the years Kroze has been involved in many internet related shows such as Red vs. Blue, Team Four Star, Yu-Gi-Oh: The Abridged Series, Eden: The Zhang Chronicles, Loading Ready Run and their charity ""Desert Bus for Hope"", as well as many smaller excursions in both creative and management positions. Kroze also helped create the popular Halo 3 gametype ""Grifball"" which went on to become a lasting addition to the hit Halo video game franchise in the succeeding entries of the series.<br>
	 <br>
	 In his spare time, Kroze also writes for popular culture website Comicsonline.com where he has interviewed many manner of actors over the years. Kroze also considers himself a comedian despite many times being told that just making puns all the time doesn't actually make him funny... or even liked... (He tries to use Hal Sparks as a defense but let's face it, does anyone REALLY enjoy Hal Sparks? REALLY?)<br>
	 <br>
	 Currently, Kroze can be found performing with his new geeky rock project: Survivors of the PC. Kroze is also the co-host of Name Not Final, a weekly radio show and podcast which takes a look at video gaming, bleeding edge technology, and popular culture from an inside perspective.<br>
	 <br>
	 To this day we still have no actual clue how Kroze is still alive.<br>
	 <br>
	 <a href=""http://www.namenotfinal.net/"" target=""_blank"">http://www.namenotfinal.net/</a><br>
	 <a href=""http://survivorsofthepc.bandcamp.com/"" target=""_blank""> http://survivorsofthepc.bandcamp.com/</a>
</p>",Guest
Eric Stuart,,"Eric Stuart (voice actor/director/singer/songwriter)

As a singer/songwriter, Eric Stuart has toured the country with such rock legends as Peter Frampton, Ringo Starr, and Lynyrd Skynyrd. He's also opened for such acts as Jethro Tull, Julian Cope, Hall & Oates, Chicago, The English Beat, Dave Mason, Steve Howe, John Entwistle, Dave Davies, The Alarm. All this while continuing a successful voice acting/directing career spanning over 25 years, starring in hit shows including Pokemon (original Brock, James, Butch, Squirtle, Blastoise, Pokedex), Yu-Gi-Oh! (Seto Kaiba), Yu-Gi-Oh! GX (Bastion), Viva Pinata (Pecky Pudgeon, Les), Ultimate Muscle (DikDik Van Dik, Mac Metaphor, King Muscle, Adversarious, Dial Bolic, Geronimo, Clawdaddy, Sgt. Muscle, Hanzo, The Protector, Jagg-Ed), Dinosaur King (Dr. Z), Kirby (Metaknight, Gus, Sword Knight, Blade Knight), Slayers (Gourry), TMNT (Gen, Master Yoshi, Harry/Quarry, Leader Of The Purple Dragons), GoGoRiki, G.I. Joe Sigma 6 (Hi-Tech), One Piece (Announcer), F-Zero (Black Shadow, Octoman), Magical DoReMi (Principal Shoople), Fighting Foodons (Burnt Meatballs, Cole Slaughter, Gazmacho), Shaman King (Marco, Flying Zen Brother #1) Descendants Of Darkness (Watari), Labyrinth Of Flames (Galan), Valkyrie Profile (Grey, Lucian), Poltergeist Report (LordKoenma), Yu Yu Hakusho: Eizu Hakusho 2 (Lord Koenma), Here Is Greenwood (Number One, Furusawa, Lupin, Tochizawa), Tama And Friends (Rockney), Chaotic, and Sonic X. Eric also voices many national radio and TV commercials and audiobook narrations.

www.ericstuart.com",Guest
Jake Paque,,"Jake Paque is an actor, voice actor, writer and producer. He's best known for playing Professor Sycamore on Pokemon, Dumon in Yu-gi-oh! Zexal and Caydan Phoenix in the video game Modern Combat 5. He also voices characters on Robin Hood: Mischief in Sherwood, Super4, The New Adventures of Peter Pan, Angel's Friends, Egyxos and the video game Brothers In Arms as well as narrating for film, television and audiobooks. Jake likes loud rock music, scary video games, action figures and spaceships (both real and fictional).",Guest
Jad Saxton,,"JAD SAXTON is a voice actor for FUNimation & Sentai, best known for her work in Wolf Children (Yuki), Fairy Tail (Carla), Haganai (Sena Kashiwazaki), Michiko & Hachin (Hatchin), Steins; Gate (Faris Nyannyan), Is This a Zombie? (Haruna), Space Dandy (Adelie), Log Horizon (Akatsuki), High School DxD (Koneko), Last Exile: Fam The Silver Wing (Fam), Eureka Seven AO (Elena Peoples), Tenchi Muyo: War on Geminar (Lashara Earth), Mass Effect: Paragon Lost (April), and Shangri-La (Karin Ishida). Other credits include: Unbreakable Machine Doll (Lisette Norden), Karneval (Tsukumo), Kamisama Kiss (Onikiri), A Certain Scientific Railgun (Komoe), A Certain Magical Index (Komoe), Aria The Scarlet Amo (Reki), B Gata H Kei - Yamada's First Time (Mayu Miyano), Freezing (Arnett McMillan), Okami-san & Her Seven Companions (Mimi Usami), Ghost Hunt (Masako Hara), Baccano! (Eve Genoard), Strike Witches (Perrine-H Clostermann), and Soul Eater (Jacqueline O. Lantern Dupre).

When Jad isn't lending her voice to anime, she can be seen on stage at various theaters throughout the Dallas/Fort Worth region. For a full list of her work please visit www.animenewsnetwork.com.

To keep up with Jad, please visit ""Jad Saxton Voice Actress"" on Facebook ""www.facebook.com/jadsaxton"" AND ""Jad Saxton"" on Twitter ""www.twitter.com/jadbsaxton""",Guest
Samurai Dan & Jillian,,"Dan Coglan, A.K.A. ""Samurai Dan"", and his wife Jillian are the acknowledged masters of marital... er, MARTIAL mayhem. This dynamic duo travels the civilized portions of the U.S., bringing their unique show to curious and horrified audiences alike. In addition to their high-energy, mostly safe stage shows (where razor sharp blades and barbs fly), the couple teaches historical and hysterical panels on the way of the warrior. Offering a wide range of lectures and interactive workshops, Dan and his lethal love Jillian are guaranteed to provide con attendees fun and fulfillment.

More info visit http://www.ramencon.com/SamuraiDan&Jillian.php",Guest
Harp Twins,,"Young harpists Camille and Kennerly Kitt, known as the HARP TWINS, have achieved extraordinary success by taking electric harps and acoustic concert grand harps to unprecedented levels and smashing boundaries between different genres of music. The duo has amassed over 600,000 fans across their social media sites and over 30 million views on their YouTube music videos, easily making Camille and Kennerly the most followed and recognizable harpists in the world. Mixing their virtuoso harp skills with their stunningly complex arrangements of rock, metal, and soundtrack hits, the Harp Twins deliver exciting performances audiences cannot forget!",Guest
Analecta,,"
Analecta is an effort to create artistic, inventive music in the vein of instrumental post-rock and post-metal drawing on the collective minds of Calvin Maloney and Patrick Quigley. Analecta invites you to come experience moving, modern music created live with feeling and exploration from the comforts of traditional post-rock to the outer reaches of non-traditional instrumentation, electronics, textures, and sounds.",Guest
PEN'S,,"PEN'S is a boyslove comic artist that is taking fans by storm. She's best known for her work with boyslove comics like ""Oops, I Did Him Again,"" ""Two Princes,"" ""I Want It That Way,"" and many more. What makes her popular is her combination of cute characters, comedic elements, and engaging storylines. She says she gets her inspiration from real life experience. She has attended college-run conventions as a guest in the past, but RamenCon will be her first major convention. PEN'S and her publisher Ebon Dragon are excited to make a major announcement at the con! ",Guest
Von Hutch,,"Las Vegas, Nevada, Email: taylorbeebe123@hotmail.com, Twitter: twitter.com/WeAreSindicated, Instagram: instagram.com/von_hutch, Facebook: www.facebook.com/vonhutchofficial, Mixcloud: www.mixcloud.com/von_hutch/",Guest
Liquid86,,"Jason ""Liquid86"" has been spinning for over 15 years, jumping on his first set of turntables in his sophomore year of high school. A die-hard fan of raving and EDM for as long as he can remember, in 2007 he attended his first Anime Convention and set his sights on a new rave scene, fueled by otaku and geeks all over the country. Now, almost 10 years later, Liquid has 
performed more shows than he can count for geeks all over the country. A master of Big Room and Electro House, Liquid is sure to get your hands in the air and make you sweat.",Guest
DJ Scottaconda,,"Scottaconda is a b-boy from Madison gone DJ representing the Midwest in the elements of House and Hip-Hop. Being proud of taking into consideration how the crowd feels, his performances have never been anything less than absolutely amazing. At Anime Expo 2015, he had a double encore in which he was, with no doubt, the hype of the night. He coordinates the Soap Bubble for Anime Central 2015, and has also performed at Anime Expo, Otakon Vegas, and much, much more. He has an infectious energy that he spreads through his love of music, and it shows on the faces of the people who are lucky enough to see him perform!",Guest
DJ Kagamine,,"Cosplayer by day, DJ by night. DJ Kagamine has focused his career being a DJ and a convention goer at the same time. Hailing from Chicago, Illinois, lifelong musical enthusiast, is proud to be 
providing some serious beats for wherever he is playing. 
Preforming at Ramencon, Kollision con, Anime Central, Otakon Vegas and more, prepare for the entrancing and sometimes chilling feels as he provides tracks, ranging from various genres including House, Hardcore, and everything in between. Both inspired and 
inspiring, he personally hopes to see all of you on your feet as he drops the beat until the night ends, and leave you frothing for more! www.facebook.com/dj.kagamine   www.soundcloud.com/dj-kagamine   www.twitter.com/aznracer1
",Guest
ZettaiRyoiki - Chi,,"ZettaiRy?iki – Chi, or ZRC for short, was founded by a group of ladies brought together by DJ Kagamine during Ramencon 5’s Neko Nocturne. Recruited as go-goes to dance together for the rave, these nine girls quickly bonded, and thus, ZRC was born. 
As both cosplayers and go-go dancers, the ZRC girls can be found in cosplay on stage and around the convention. They love 
creating themed outfits to perform in, with each girl choosing a color or character scheme to match the event’s chosen theme. ?Members include: Bakamono, Darkreilia Cosplay, EpikaFailz, Maddie Kokiri, Mimi Cosplay, Mizuki Rose, Neko, SD Artistry, and Silver Wing Cosplay.",Guest
Lusive Seraph,,"
Lusive hails all the way from the great white tundra that is Wisconsin. Lusive creates all his own outfits and props. He has been officially cosplaying for the last 4 years. He got into costume making because of his families extreme obsession with halloween. He is completely self taught aside from learning basic sewing skills in middle school.

Seeing how it is he has no issue being in the spotlight Lusive won best in show at Geek.kon back in 2013 as a novice with his seraphimon cosplay. He considers his biggest accomplishment being able to win best in show with an outfit he made in a little over 8 hours. Also considering the fact he forgot a crucial part of his outfit, that actually held the whole thing together at home, was still able to pull out a win with items he picked up last minute. Lusive says his best area of expertise is when it comes to prop making. He prides himself on being able to find new and cheaper ways to make props. Not only does he know how to sew and make props but he is also a fully trained Culinary Arts Major.",Guest
Bakamono,,"
Bakamono has been cosplaying since 2008. She has taken on a variety of characters, known mainly for her take on Princess Bubblegum from Adventure Time. Her talents include designing costumes, working with varieties of makeup, and creating cosplays within a short deadline. She is an aspiring makeup artist and seamstress, planning on attending school for makeup in the fall! She is extremely honored to be a returning guest to Ramencon and cannot wait to hang out with the other guests!

Check out more of her work at Facebook.com/BakamonoCosplay",Guest
Kuri,,"Cosplaying since 2008, Kuri have been a fan of anime and video games since she was young. She is a self taught seamstress, with the help of her mother and grandmother's tips and tricks. Over the years, Kuri learned different techniques and ways of making cosplays from mistakes and tutorials. Now, she makes most of her cosplays and even helps out cosplayers by putting tutorials on youtube. Her youtube consists of dance tutorials which she is known for and cosplay tutorials. Some other thingSome of her biggest cosplays are Elsa from Frozen, Goddess Madoka from Madoka Magica, and Haruka Nanami from Uta No Prince Sama. Here are a few ways to contact and few her cosplays!

https://www.facebook.com/DarkGoddess007/
https://www.youtube.com/user/GoddessOfDarkness007
https://www.instagram.com/darkgoddess007/",Guest
